Week Of,City,Neighborhood,Product,SKU,Channel,Sales (Units)
2016-01-18,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,216
2016-01-11,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,213
2016-01-04,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,216
2015-12-28,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,209
2015-12-21,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,217
2015-12-14,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,215
2015-12-07,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,215
2015-11-30,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,214
2015-11-23,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,210
2015-11-16,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,217
2015-11-09,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,215
2015-11-02,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,208
2015-10-26,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,220
2015-10-19,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,238
2015-10-12,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,242
2015-10-05,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,247
2015-09-28,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,261
2015-09-21,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,279
2015-09-14,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,288
2015-09-07,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,304
2015-08-31,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,312
2015-08-24,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,327
2015-08-17,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,345
2015-08-10,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,362
2015-08-03,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,392
2015-07-27,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,424
2015-07-20,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,419
2015-07-13,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,422
2015-07-06,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,426
2015-06-29,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,625
2015-06-22,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,387
2015-06-15,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,377
2015-06-08,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,369
2015-06-01,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,358
2016-05-23,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,256
2016-05-16,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,185
2016-05-09,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,130
2016-05-02,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,93
2016-04-25,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-04-18,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-04-11,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-04-04,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-03-28,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-03-21,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-03-14,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-03-07,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-02-29,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-02-22,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-02-15,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-02-08,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-02-01,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-01-25,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-01-18,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-01-11,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-01-04,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-12-28,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-12-21,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-12-14,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-12-07,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-11-30,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-11-23,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-11-16,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-11-09,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-11-02,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-10-26,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-10-19,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-10-12,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-10-05,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-09-28,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-09-21,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-09-14,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,92
2015-09-07,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,111
2015-08-31,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,273
2015-08-24,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,460
2015-08-17,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,516
2015-08-10,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,554
2015-08-03,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,556
2015-07-27,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,548
2015-07-20,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,464
2015-07-13,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,440
2015-07-06,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,461
2015-06-29,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,823
2015-06-22,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,460
2015-06-15,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,382
2015-06-08,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,368
2015-06-01,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,333
2016-05-23,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,264
2016-05-16,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,249
2016-05-09,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,246
2016-05-02,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,215
2016-04-25,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,214
2016-04-18,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,207
2016-04-11,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,200
2016-04-04,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,204
2016-03-28,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,198
2016-03-21,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,197
2016-03-14,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,190
2016-03-07,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,194
2016-02-29,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,185
2016-02-22,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,173
2016-02-15,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,162
2016-02-08,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,165
2016-02-01,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,164
2016-01-25,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,165
2016-01-18,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,159
2016-01-11,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,163
2016-01-04,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,156
2015-12-28,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,156
2015-12-21,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,160
2015-12-14,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,164
2015-12-07,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,162
2015-11-30,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,166
2015-11-23,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,162
2015-11-16,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,160
2015-11-09,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,161
2015-11-02,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,164
2015-10-26,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,165
2015-10-19,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,174
2015-10-12,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,179
2015-10-05,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,193
2015-09-28,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,199
2015-09-21,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,210
2015-09-14,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,215
2015-09-07,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,230
2015-08-31,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,235
2015-08-24,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,240
2015-08-17,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,266
2015-08-10,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,266
2015-08-03,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,294
2015-07-27,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,319
2015-07-20,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,315
2015-07-13,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,316
2015-07-06,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,320
2015-06-29,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,473
2015-06-22,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,292
2015-06-15,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,283
2015-06-08,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,273
2015-06-01,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,274
2016-05-23,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,164
2016-05-16,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,123
2016-05-09,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,84
2016-05-02,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,61
2016-04-25,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2016-04-18,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2016-04-11,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2016-04-04,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2016-03-28,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2016-03-21,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2016-03-14,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2016-03-07,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2016-02-29,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2016-02-22,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2016-02-15,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2016-02-08,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2016-02-01,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2016-01-25,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2016-01-18,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2016-01-11,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2016-01-04,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2015-12-28,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2015-12-21,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2015-12-14,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2015-12-07,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2015-11-30,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2015-11-23,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2015-11-16,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2015-11-09,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2015-11-02,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2015-10-26,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2015-10-19,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2015-10-12,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2015-10-05,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2015-09-28,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2015-09-21,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2015-09-14,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,63
2015-09-07,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,78
2015-08-31,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,181
2015-08-24,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,293
2015-08-17,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,329
2015-08-10,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,351
2015-08-03,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,352
2015-07-27,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,350
2015-07-20,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,298
2015-07-13,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,285
2015-07-06,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,295
2015-06-29,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,525
2015-06-22,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,291
2015-06-15,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,243
2015-06-08,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,238
2015-06-01,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,210
2016-05-23,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Retail,326
2016-05-16,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Retail,309
2016-05-09,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Retail,306
2016-05-02,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Retail,270
2016-04-25,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Retail,263
2016-04-18,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Retail,261
2016-04-11,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Retail,256
2016-04-04,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Retail,241
2016-03-28,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Retail,243
2016-03-21,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Retail,239
2016-03-14,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Retail,242
2016-03-07,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Retail,240
2016-02-29,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Retail,228
2016-02-22,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Retail,211
2016-02-15,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Retail,203
2016-02-08,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Retail,193
2016-02-01,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Retail,194
2016-01-25,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Retail,202
2016-01-18,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Retail,199
2016-01-11,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Retail,200
2016-01-04,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Retail,202
2015-12-28,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Retail,197
2015-12-21,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Retail,193
